date,value
30-3-2020,6330.633
31-3-2020,6338.56
1-4-2020,6668.94
2-4-2020,6079.667
3-4-2020,6120.525
4-4-2020,6551.242
5-4-2020,6154.797
6-4-2020,6358.021
7-4-2020,6521.1
8-4-2020,6736.978
9-4-2020,6792.837
10-4-2020,6774.648
11-4-2020,6575.205
12-4-2020,6658.011
13-4-2020,6815.49
14-4-2020,6733.156
15-4-2020,6844.334
16-4-2020,6876.629
17-4-2020,6925.296
18-4-2020,6778.606
19-4-2020,7288.241
20-4-2020,6852.972
21-4-2020,7163.664
22-4-2020,7087.421
23-4-2020,7485.32
24-4-2020,7016.327
25-4-2020,7162.707
26-4-2020,6972.452
27-4-2020,6861.255
28-4-2020,6752.208
29-4-2020,7251.34
30-4-2020,6939.003
1-5-2020,7066.244
2-5-2020,6850.483
3-5-2020,6785.525
4-5-2020,6755.57
5-5-2020,7114.143
6-5-2020,7039.313
7-5-2020,7169.66
8-5-2020,7007.306
9-5-2020,7281.406
10-5-2020,7067.989
11-5-2020,7140.22
12-5-2020,7494.631
13-5-2020,7181.189
14-5-2020,7030.741
15-5-2020,7001.111
16-5-2020,7040.222
17-5-2020,7124.304
18-5-2020,7291.421
19-5-2020,7603.556
20-5-2020,7304.19
21-5-2020,7146.971
22-5-2020,7026.249
23-5-2020,7552.65
24-5-2020,7621.406
25-5-2020,7499.247
26-5-2020,7310.422
27-5-2020,7626.516
28-5-2020,7198.833
29-5-2020,7567.318
30-5-2020,7688.812
31-5-2020,6970.036
1-6-2020,7708.91
2-6-2020,8044.702
3-6-2020,7920.557
4-6-2020,7431.333
5-6-2020,7706.96
6-6-2020,7603.714
7-6-2020,7953.662
8-6-2020,7946.31
9-6-2020,8002.388
10-6-2020,8117.451
11-6-2020,7486.634
12-6-2020,7537.976
13-6-2020,7578.518
14-6-2020,7837.051
15-6-2020,8073.563
16-6-2020,8057.223
17-6-2020,8242.659
18-6-2020,7890.206
19-6-2020,7833.289
20-6-2020,8155.507
21-6-2020,7969.467
22-6-2020,8010.185
23-6-2020,8146.818
24-6-2020,8274.401
25-6-2020,8176.979
26-6-2020,7126.001
27-6-2020,7164.194
28-6-2020,6822.163
29-6-2020,6829.694
30-6-2020,6929.705
1-7-2020,7030.958
2-7-2020,7028.286
3-7-2020,6847.158
4-7-2020,7163.546
5-7-2020,6983.19
6-7-2020,7063.646
7-7-2020,6863.435
8-7-2020,7273.334
9-7-2020,6993.399
10-7-2020,7026.653
11-7-2020,7042.064
12-7-2020,7128.482
13-7-2020,7098.558
14-7-2020,7184.624
15-7-2020,7068.628
16-7-2020,6943.273
17-7-2020,6797.793
18-7-2020,6571.127
19-7-2020,6598.812
20-7-2020,6877.88
21-7-2020,7013.078
22-7-2020,7013.663
23-7-2020,6593.899
24-7-2020,6661.711
25-7-2020,6753.968
26-7-2020,6809.795
27-7-2020,6643.561
28-7-2020,6448.61
29-7-2020,6652.299
30-7-2020,6592.666
31-7-2020,6329.171
1-8-2020,6000.432
2-8-2020,6230.171
3-8-2020,6467.114
4-8-2020,6585.466
5-8-2020,6402.616
6-8-2020,6517.497
7-8-2020,6151.239
8-8-2020,6495.286
9-8-2020,6524.263
10-8-2020,6328.354
11-8-2020,6093.135
12-8-2020,6351.778
13-8-2020,6334.646
14-8-2020,6013.481
15-8-2020,6491.331
16-8-2020,6320.789
17-8-2020,6298.93
18-8-2020,6408.277
19-8-2020,6740.199
20-8-2020,6312.545
21-8-2020,6219.32
22-8-2020,6223.562
23-8-2020,6410.564
24-8-2020,6545.512
25-8-2020,6436.141
26-8-2020,6458.545
27-8-2020,6412.205
28-8-2020,6289.152
29-8-2020,6475.749
30-8-2020,6065.669
31-8-2020,6064.62
1-9-2020,6104.8
2-9-2020,6259.707
3-9-2020,6349.397
4-9-2020,6485.743
5-9-2020,6288.032
6-9-2020,6283.176
7-9-2020,6230.168
8-9-2020,6142.596
9-9-2020,6543.75
10-9-2020,6533.127
11-9-2020,6293.031
12-9-2020,5755.824
13-9-2020,6147.218
14-9-2020,5772.462
15-9-2020,6009.08
16-9-2020,6173.614
17-9-2020,6392.906
18-9-2020,6130.634
19-9-2020,5833.388
20-9-2020,5781.012
21-9-2020,6192.731
22-9-2020,6207.268
23-9-2020,6416.997
24-9-2020,6339.468
25-9-2020,6187.367
26-9-2020,6186.464
27-9-2020,5135.101
28-9-2020,6084.914
29-9-2020,5812.291
30-9-2020,5437.308
1-10-2020,6244.443
2-10-2020,6255.321
3-10-2020,5982.697
4-10-2020,5988.417
5-10-2020,5939.618
6-10-2020,6022.731
7-10-2020,6315.158
8-10-2020,5933.839
9-10-2020,6032.233
10-10-2020,6271.217
11-10-2020,6187.703
12-10-2020,6332.406
13-10-2020,5855.107
14-10-2020,5966.254
15-10-2020,6052.077
16-10-2020,5884.671
17-10-2020,6055.698
18-10-2020,6110.723
19-10-2020,5987.816
20-10-2020,6127.896
21-10-2020,5917.905
22-10-2020,5933.801
23-10-2020,5631.89
24-10-2020,5506.526
25-10-2020,5525.845
26-10-2020,5311.169
27-10-2020,5534.009
28-10-2020,5450.531
29-10-2020,5363.216
30-10-2020,5600.28
31-10-2020,5455.5
1-11-2020,5471.732
2-11-2020,5420.231
3-11-2020,5322.71
4-11-2020,5467.569
5-11-2020,5054.436
6-11-2020,5329.049
7-11-2020,5362.167
8-11-2020,5339.1
9-11-2020,5352.809
10-11-2020,5463.521
11-11-2020,5575.09
12-11-2020,5720.166
13-11-2020,5953.543
14-11-2020,5938.295
15-11-2020,5826.549
16-11-2020,6212.443
17-11-2020,5537.597
18-11-2020,5844.108
19-11-2020,5800.185
20-11-2020,5979.414
21-11-2020,5688.023
22-11-2020,5491.675
23-11-2020,5642.007
24-11-2020,5935.809
25-11-2020,5934.493
26-11-2020,5756.897
27-11-2020,5795.973
28-11-2020,5748.493
29-11-2020,5511.774
30-11-2020,5404.308
